DIMENSIÓN;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;ESTRATÉGICA;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;INTERPERSONALES;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTOGESTIÓN;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTODESARROLLO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;AUTOGOBIERNO;;;;;;;;;;;;;;;;;
COMPETENCIA;Visión de Negocio;Visión de Negocio;Visión de Negocio;Visión de la Organización;Visión de la Organización;Visión de la Organización;Orientación al Cliente;Orientación al Cliente;Orientación al Cliente;Networking;Networking;Networking;Comunicación;Comunicación;Comunicación;Delegación;Delegación;Delegación;Coaching;Coaching;Coaching;Trabajo en Equipo;Trabajo en Equipo;Trabajo en Equipo;Iniciativa;Iniciativa;Iniciativa;Optimismo;Optimismo;Optimismo;Gestión del Tiempo;Gestión del Tiempo;Gestión del Tiempo;Gestión del Estrés;Gestión del Estrés;Gestión del Estrés;Ambición;Ambición;Ambición;Aprendizaje;Aprendizaje;Aprendizaje;Autoconocimiento;Autoconocimiento;Autoconocimiento;Autocrítica;Autocrítica;Autocrítica;Toma de Decisiones;Toma de Decisiones;Toma de Decisiones;Integridad;Integridad;Integridad;Autocontrol;Autocontrol;Autocontrol;Equilibrio Emocional;Equilibrio Emocional;Equilibrio Emocional;;;;;;;;;;;;;;;;;
;visneg1e;visneg2;visneg3e;visorg1e;visorg2e;visorg3e;ortcli1e;ortcli2e;ortcli3e;networ1e;networ2e;networ3e;com1;com2;com3;dele1;dele2;dele3;coach1;coach2;coach3;equipo1;equipo2;equipo3;inicia1;inicia2;inicia3;optim1;optim2;optim3;gesttiem1;gesttiem2;gesttiem3;gestestr1;gestestr2;gestest3;ambi1;ambi2;ambi3;apren1;apren2;apren3;autocono1;autocono2;autocono3;autocri1;autocri2;autocri3;deci1;deci2;deci3;integ1;integ2;integ3;autocon1;autocon2;autocon3;equiem1;equiem2;equiem3;MOTEXT-11;MOTEXT-15;MOTEXT-17;MOTEXT-20;MOTINT-10;MOTINT-11;MOTINT-12;MOTINT-19;MOLTALT-12;MOTALT-14;MOTALT-17;MOTALT-19;sexo;EDAD;Resp_nivel;Sector;Empleados
;5;4;4;3;5;5;5;4;4;3;2;3;5;4;5;4;4;5;4;4;4;4;5;4;4;4;3;4;4;5;2;2;3;2;4;4;3;4;4;4;4;4;5;4;5;2;3;4;4;3;3;4;4;4;4;5;4;3;5;4;3;2;2;3;4;4;4;5;4;4;4;4;1;1979;0;1;51 a 100
;4;5;4;5;5;4;1;2;4;2;2;4;5;4;5;4;5;4;3;3;4;5;4;5;4;4;5;4;5;5;5;5;5;4;5;5;4;4;5;3;4;5;4;3;4;4;4;5;4;4;4;5;5;5;5;5;5;4;4;4;4;4;4;2;5;5;5;5;4;4;3;4;1;1971;1;2;501 a 2.500
;4;5;3;4;5;5;4;4;4;5;4;4;4;5;5;4;5;5;5;5;4;5;5;4;5;5;5;5;4;4;4;5;5;5;5;5;5;5;5;4;4;5;5;4;5;5;5;5;5;5;5;5;5;5;4;5;4;4;5;5;2;3;3;3;4;5;5;5;5;5;5;5;1;1975;0;3;Menos de 50
;3;4;3;4;4;5;4;5;4;2;2;3;5;5;5;4;5;4;4;4;4;5;5;5;2;3;3;4;5;4;3;3;2;3;4;4;5;4;4;5;4;4;2;2;3;2;2;4;4;4;4;3;5;5;4;5;4;4;4;5;1;2;2;1;3;4;4;4;4;3;4;5;1;1970;1;2;501 a 2.500
;5;5;4;3;5;5;5;4;4;4;4;4;5;3;4;4;4;4;5;4;4;5;5;5;4;4;4;5;5;5;4;4;4;4;5;5;5;5;5;4;4;4;5;4;4;3;3;4;4;3;3;5;5;5;4;5;4;4;5;3;4;4;4;4;5;5;5;5;5;4;4;4;1;1972;1;4;Más de 20.000
;5;5;4;4;5;4;4;4;5;4;4;4;4;4;5;4;4;4;4;4;4;4;4;5;4;4;4;4;4;4;4;3;4;4;5;4;4;5;5;4;4;4;4;4;4;3;3;4;5;5;5;4;4;4;4;4;3;5;5;4;2;1;1;1;4;4;3;4;4;4;4;4;1;1965;1;5;51 a 100
;2;4;3;4;5;5;5;4;4;2;2;3;3;5;5;5;5;5;5;4;5;5;4;5;4;5;4;4;3;2;3;4;4;4;5;5;5;5;4;4;4;5;3;2;2;4;4;4;2;2;3;5;4;4;2;4;3;5;5;5;1;1;1;2;5;5;5;3;5;4;3;4;0;1972;1;6;101 a 250
;4;4;4;5;5;5;4;4;4;3;2;2;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;5;4;3;3;4;4;4;4;5;5;4;4;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;5;5;4;1;1;1;1;4;5;5;4;5;5;4;4;0;1976;1;4;Menos de 50
