"LOC_NO","LOC_NAME","ENABLED","ADDR1","CITY","STATE","ZIP","COUNTRY","DOMAIN","TIMEZONE"
"00100088","RACC ALBACETE","TRUE","CL CALLE DIONISIO GUARDIOLA 34","ALBACETE","ALBACETE","02003","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100036","RACC ELCHE","TRUE","AV AVENIDA PAIS VALENCIA 9","ELCHE","ALICANTE","03201","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100087","RACC ALACANT","TRUE","CL CALLE PINTOR LORENZO CASANOVA 3","ALICANTE","ALICANTE","03003","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100003","RACC ANDALUCIA","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100064","RACC PALMA SAN MIGUEL","TRUE","CL CALLE SAN MIGUEL 64","PALMA DE MALLORCA","BALEARES","07002","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100065","RACC PALMA JAUME III","TRUE","CL CALLE BONAIRE 13","PALMA DE MALLORCA","BALEARES","07012","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100001","RACC DIAGONAL","TRUE","AV AVENIDA DIAGONAL 687","BARCELONA","BARCELONA","08028","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100004","RACC BADALONA","TRUE","CL CALLE FRANCESC LAYRET 96","BADALONA","BARCELONA","08911","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100005","RACC BADALONA (MICRO)","TRUE","AV AVENIDA MARQUES DE ST MORI 187","BADALONA","BARCELONA","08914","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100006","RACC BADALONA - LLOREDA","TRUE","RB RAMBLA SANT JOAN 99","BADALONA","BARCELONA","08917","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100007","RACC SANTALO","TRUE","CL CALLE SANTALO 8","BARCELONA","BARCELONA","08021","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100008","RACC VALENCIA","TRUE","CL CALLE VALENCIA 146","BARCELONA","BARCELONA","08011","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100009","RACC AV.DE ROMA","TRUE","AV AVENIDA ROMA 119","BARCELONA","BARCELONA","08011","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100010","RACC GRAN VIA","TRUE","CL CALLE GRAN VIA 178","BARCELONA","BARCELONA","08004","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
"00100011","RACC PADILLA","TRUE","CL CALLE PADILLA 228","BARCELONA","BARCELONA","08013","ESPAÑA","RACC Discovery","(GMT+01:00) Brussels, Copenhagen, Madrid, Paris"
